ad	density	cc	spath	eigencentr	betwcentr
drug_1	630.5	-909	500.5	-490	-939	624.5
drug_10	-511	-909	447	-490	-928	571
drug_100	630.5	742.5	651.5	620.5	574.5	-359.5
drug_101	630.5	742.5	651.5	620.5	727	-359.5
drug_102	630.5	742.5	651.5	620.5	791	-359.5
drug_103	630.5	742.5	651.5	620.5	695	-375
drug_104	630.5	742.5	651.5	620.5	791	-375
drug_105	630.5	742.5	651.5	620.5	695	-375
drug_106	630.5	742.5	651.5	620.5	734.5	-359.5
drug_107	630.5	742.5	651.5	620.5	574.5	-359.5
drug_108	630.5	742.5	651.5	620.5	887	-375
drug_109	630.5	742.5	651.5	620.5	760	-359.5
drug_11	630.5	-856	500.5	-458	-865.5	624.5
drug_110	398	510	-440.5	388	331	-620.5
drug_111	-441.5	510	-549	-580	537.5	541
drug_112	-441.5	510	-549	-580	655	541
drug_113	-441.5	510	-549	-580	517	541
drug_114	-441.5	510	-549	-580	463	541
drug_115	-441.5	510	-549	-580	-578	541
drug_116	398	510	-440.5	388	537.5	-620.5
drug_117	-441.5	510	-549	-580	537.5	541
drug_118	-441.5	510	-549	-580	-555.5	541
drug_119	-441.5	510	-549	-580	-414	541
drug_12	630.5	-856	500.5	-458	-864	624.5
drug_120	-441.5	510	-549	-580	680	541
drug_121	398	510	-440.5	388	464	-620.5
drug_122	-441.5	510	-549	-580	331	541
drug_123	-441.5	510	-549	-580	537.5	541
drug_124	-441.5	510	-549	-580	586.5	541
drug_125	-441.5	510	-549	-580	502.5	541
drug_126	-441.5	510	-549	-580	537.5	541
drug_127	398	510	-440.5	388	534	-620.5
drug_128	398	510	-440.5	388	537.5	-620.5
drug_129	398	510	-440.5	388	537.5	-620.5
drug_13	630.5	-909	500.5	-490	-940.5	624.5
drug_130	-441.5	510	-549	-580	655	541
drug_131	-441.5	510	-549	-580	277.5	541
drug_132	398	510	-440.5	388	-398.5	-620.5
drug_133	-441.5	510	-549	-580	385	541
drug_134	398	510	-440.5	388	610.5	-620.5
drug_135	-441.5	510	-549	-580	-474	541
drug_136	-441.5	510	-549	-580	517	541
drug_137	-441.5	510	-549	-580	610.5	541
drug_138	398	510	-440.5	388	537.5	-620.5
drug_139	-441.5	510	-549	-580	517	541
drug_14	630.5	-856	500.5	-458	-845.5	624.5
drug_140	398	510	-440.5	388	458	-620.5
drug_141	-441.5	510	-549	-580	385	541
drug_142	630.5	742.5	651.5	620.5	847.5	-779
drug_143	630.5	742.5	651.5	620.5	754	-512
drug_144	630.5	742.5	651.5	620.5	847.5	-620.5
drug_145	630.5	742.5	-710.5	620.5	727	-710.5
drug_146	630.5	742.5	651.5	620.5	793.5	-620.5
drug_147	630.5	742.5	651.5	620.5	633.5	-779
drug_148	630.5	742.5	651.5	620.5	599	-779
drug_149	630.5	742.5	651.5	620.5	887	-512
drug_15	-511	-909	447	-490	-945.5	571
drug_150	630.5	742.5	-710.5	620.5	638.5	-710.5
drug_151	630.5	742.5	-710.5	620.5	697.5	-710.5
drug_152	630.5	742.5	651.5	620.5	955.5	-512
drug_153	630.5	742.5	651.5	620.5	695	-512
drug_154	630.5	742.5	651.5	620.5	791	-512
drug_155	630.5	742.5	-710.5	620.5	887	-710.5
drug_156	630.5	742.5	-710.5	620.5	763.5	-710.5
drug_157	630.5	742.5	-710.5	620.5	697.5	-710.5
drug_158	630.5	742.5	-710.5	620.5	887	-710.5
drug_159	630.5	742.5	651.5	620.5	697.5	-620.5
drug_16	630.5	-856	500.5	-458	-903	624.5
drug_160	630.5	742.5	-710.5	620.5	695	-710.5
drug_161	630.5	742.5	651.5	620.5	887	-512
drug_162	630.5	742.5	-710.5	620.5	791	-710.5
drug_163	630.5	742.5	651.5	620.5	887	-779
drug_164	630.5	742.5	651.5	620.5	791	-512
drug_165	630.5	742.5	-710.5	620.5	822.5	-710.5
drug_166	630.5	742.5	-710.5	620.5	727	-710.5
drug_167	630.5	742.5	-710.5	620.5	887	-710.5
drug_168	630.5	742.5	651.5	620.5	887	-779
drug_169	630.5	742.5	-710.5	620.5	791	-710.5
drug_17	630.5	-856	500.5	-458	-884	624.5
drug_170	630.5	742.5	-710.5	620.5	638.5	-710.5
drug_171	-719	-600.5	447	-668.5	-663.5	571
drug_172	-744	-676.5	447	-722.5	651	571
drug_173	-663.5	-589	447	-675	611.5	571
drug_174	-725.5	-590	447	-676	-811.5	571
drug_175	-744	-676.5	447	-722.5	-530	571
drug_176	-719	-600.5	447	-668.5	-487	571
drug_177	-763.5	-608	447	-742	-731.5	571
drug_178	-678	-623.5	447	-690.5	-648	571
drug_179	-744	-676.5	447	-722.5	634.5	571
drug_18	-445	-856	447	-458	-890.5	571
drug_180	-763.5	-608	447	-742	-623.5	571
drug_181	-744	-676.5	447	-722.5	-596.5	571
drug_182	-744	-676.5	447	-722.5	-590	571
drug_183	-719	-600.5	447	-668.5	574.5	571
drug_184	-744	-676.5	447	-722.5	-685.5	571
drug_185	-719	-600.5	447	-668.5	647.5	571
drug_186	-661	-592.5	447	-660.5	-768.5	571
drug_187	-744	-676.5	447	-722.5	-676	571
drug_188	-719	-600.5	447	-668.5	574.5	571
drug_189	-763.5	-608	447	-742	-730	571
drug_19	-511	-909	447	-490	-940.5	571
drug_190	-744	-676.5	447	-722.5	-685.5	571
drug_191	-486	-833	447	-436	-906	571
drug_192	-719	-600.5	447	-668.5	538.5	571
drug_193	-744	-676.5	447	-722.5	-685.5	571
drug_194	-744	-676.5	447	-722.5	-827	571
