ad	density	cc	spath	eigencentr	betwcentr
drug_1	665	444	655	-609.5	-689	-712.5
drug_10	-389	-535	-471	-402	-856	655.5
drug_100	637	-535	-471	-402	578	716
drug_101	580.5	-535	-471	546.5	-648.5	-509
drug_102	580.5	-535	-471	546.5	658.5	-509
drug_103	644.5	637.5	-471	-402	677	712.5
drug_104	-389	-535	-471	-402	-641	564.5
drug_105	580.5	-535	-471	546.5	451.5	-509
drug_106	580.5	-535	-471	546.5	458	-509
drug_107	580.5	-535	-471	546.5	-512.5	-509
drug_108	580.5	-535	-471	546.5	-505	-509
drug_109	-389	-535	-471	-402	-682.5	564.5
drug_11	422.5	686.5	655	488.5	809	-509
drug_110	524.5	595.5	537.5	593	699	-509
drug_111	524.5	595.5	537.5	593	-682.5	-509
drug_112	524.5	595.5	537.5	593	738.5	-509
drug_113	678	747	707.5	700.5	548	743
drug_114	524.5	595.5	537.5	593	-505	-509
drug_115	-389	-535	-471	-402	-505	642
drug_116	-389	-535	-471	-402	351	642
drug_117	524.5	595.5	537.5	593	-529	-509
drug_118	-389	-535	-471	-402	-505	642
drug_119	-700.5	741	-471	694	782	726
drug_12	641	733	694.5	298	695.5	-718.5
drug_120	524.5	595.5	537.5	593	531.5	-509
drug_121	524.5	595.5	537.5	593	-505	-509
drug_122	422.5	686.5	655	488.5	757	-509
drug_123	524.5	595.5	537.5	593	632.5	-509
drug_124	524.5	595.5	537.5	593	-641	-509
drug_125	524.5	595.5	537.5	593	699	-509
drug_126	524.5	595.5	537.5	593	492	-509
drug_127	-389	-535	579.5	-402	551	-509
drug_128	-629.5	351	-471	-637.5	-301	682
drug_129	-389	-535	-471	-402	-641	642
drug_13	422.5	686.5	655	488.5	847	-718.5
drug_130	-389	-535	-471	-402	-641	642
drug_131	524.5	595.5	537.5	593	-720	-509
drug_132	-389	-535	579.5	-402	-641	-509
drug_133	-389	-535	-471	-402	551	642
drug_134	422.5	686.5	655	488.5	780.5	-509
drug_135	524.5	595.5	537.5	593	531.5	-509
drug_136	462	-535	-471	421	629.5	681
drug_137	-389	-535	-471	-402	-784.5	642
drug_138	524.5	595.5	537.5	593	738.5	-509
drug_139	-389	-535	-471	-402	-505	642
drug_14	422.5	686.5	655	488.5	886.5	-509
drug_140	-389	-535	-471	-402	-505	642
drug_141	524.5	595.5	537.5	593	632.5	-509
drug_142	-629.5	547.5	-471	664.5	377	403.5
drug_143	524.5	595.5	537.5	593	-505	-509
drug_144	651	724	-471	-637.5	669	633
drug_145	-629.5	401.5	-471	640	-437	625
drug_146	-629.5	401.5	-471	640	-267.5	625
drug_147	-629.5	547.5	-471	664.5	377	403.5
drug_148	-629.5	547.5	-471	664.5	-301	403.5
drug_149	-629.5	547.5	-471	664.5	380	403.5
drug_15	422.5	686.5	655	488.5	845	-718.5
drug_150	-629.5	547.5	-471	664.5	377	403.5
drug_151	-629.5	401.5	-471	640	-492	625
drug_152	-389	-535	-471	421	-720	670.5
drug_153	-629.5	547.5	-471	664.5	579	403.5
drug_154	524.5	595.5	537.5	593	-505	-509
drug_155	-629.5	547.5	-471	664.5	-461	403.5
drug_156	422.5	686.5	655	488.5	-859.5	-509
drug_157	-629.5	644.5	596	649.5	558.5	375.5
drug_158	-629.5	644.5	596	649.5	561	375.5
drug_159	-629.5	547.5	-471	664.5	-403.5	403.5
drug_16	422.5	686.5	655	488.5	640	-509
drug_160	-629.5	547.5	-471	664.5	536.5	403.5
drug_161	-629.5	547.5	-471	664.5	614	403.5
drug_162	-629.5	547.5	-471	664.5	369.5	403.5
drug_163	-629.5	401.5	-471	640	-301	625
drug_164	524.5	595.5	537.5	593	517	-509
drug_165	524.5	595.5	537.5	593	531.5	-509
drug_166	-629.5	547.5	-471	664.5	618.5	403.5
drug_167	-629.5	401.5	-471	640	264	625
drug_168	-629.5	547.5	-471	664.5	623.5	403.5
drug_169	-629.5	547.5	-471	664.5	377	403.5
drug_17	422.5	686.5	655	488.5	640	-718.5
drug_170	524.5	595.5	537.5	593	-505	-509
drug_171	422.5	686.5	655	488.5	608	-509
drug_172	422.5	686.5	655	488.5	640	-509
drug_173	422.5	686.5	655	488.5	-682.5	-509
drug_174	422.5	686.5	655	488.5	847	-509
drug_175	-629.5	595.5	-471	-637.5	751	572
drug_176	-389	-535	-471	-402	-720	604.5
drug_177	-389	-535	487.5	-402	-682.5	-509
drug_178	422.5	686.5	655	488.5	475	-509
drug_179	422.5	686.5	655	488.5	886.5	-509
drug_18	422.5	686.5	655	488.5	640	-718.5
drug_180	-389	-535	487.5	-402	-505	-509
drug_181	-389	-535	487.5	-402	415	-509
drug_182	422.5	686.5	655	488.5	-682.5	-509
drug_183	-389	-535	-471	-402	-623.5	604.5
drug_184	422.5	686.5	655	488.5	-641	-509
drug_185	-389	-535	487.5	-402	-505	-509
drug_186	422.5	686.5	655	488.5	815	-509
drug_187	-389	-535	487.5	-402	424.5	-509
drug_188	422.5	686.5	655	488.5	616.5	-509
drug_189	422.5	686.5	655	488.5	608	-509
drug_19	422.5	686.5	655	488.5	832.5	-509
drug_190	-389	-535	487.5	-402	-505	-509
drug_191	497.5	-330.5	330	-199.5	-272	866
drug_192	-389	-535	487.5	-402	555.5	-509
drug_193	-389	-535	487.5	-402	-623.5	-509
drug_194	422.5	686.5	655	488.5	847	-509
drug_195	-389	-535	-471	-402	780.5	604.5
drug_196	422.5	686.5	655	488.5	598.5	-509
drug_197	-389	-535	487.5	-402	-641	-509
drug_198	-389	-535	-471	-402	567.5	604.5
drug_199	422.5	686.5	655	488.5	771.5	-509
drug_2	422.5	686.5	655	488.5	-648.5	-509
drug_20	422.5	686.5	655	488.5	640	-718.5
drug_200	422.5	686.5	655	488.5	-641	-509
drug_201	-389	-535	579.5	-402	-720	-509
drug_202	682	767	721.5	704	693	740
drug_203	-389	-535	579.5	-402	717.5	-509
drug_204	682	767	721.5	704	692	740
drug_205	422.5	686.5	655	488.5	640	-509
drug_206	691	783	735.5	709	930.5	747
drug_207	422.5	686.5	655	488.5	-648.5	-509
drug_208	-629.5	416	-471	-637.5	301	278
drug_209	-389	-535	487.5	-402	415	-509
drug_21	422.5	686.5	655	488.5	771.5	-509
drug_210	691	783	735.5	709	725.5	747
drug_211	-389	-535	487.5	-402	615	-509
drug_212	422.5	686.5	655	488.5	847	-509
drug_213	422.5	686.5	655	488.5	608	-509
drug_214	671	761	724.5	698	714	753
drug_215	-389	-535	-471	-402	556	630.5
drug_216	691	783	735.5	709	929	747
drug_217	671	761	724.5	698	920	753
drug_218	-389	-535	-471	-402	-525	630.5
drug_219	691	783	735.5	709	864	747
drug_22	708	-741.5	655	-682.5	-579	-723.5
drug_220	691	783	735.5	709	867.5	747
drug_221	-700.5	752	704.5	-702	853	751
drug_222	671	761	724.5	698	715	753
drug_223	658.5	738.5	716.5	696	531	725
drug_224	-389	-535	579.5	-402	551	-509
drug_225	-389	-535	487.5	-402	-641	-509
drug_226	-389	-535	487.5	-402	-505	-509
drug_227	422.5	686.5	655	488.5	640	-509
drug_228	-389	-535	-471	-402	-641	630.5
drug_229	-389	-535	-471	-402	-505	652
drug_23	-629.5	595.5	-471	-637.5	682.5	572
drug_230	682	767	721.5	704	691	740
drug_231	-389	-535	487.5	-402	-648.5	-509
drug_232	-389	-535	-471	-402	-623.5	604.5
drug_233	422.5	686.5	655	488.5	515.5	-509
drug_234	-389	-535	-471	421	-682.5	670.5
drug_235	-389	-535	-471	421	-505	670.5
drug_236	-389	-535	-471	-402	-505	707
drug_237	-389	-535	487.5	-402	-682.5	-509
drug_238	-389	-535	-471	-402	-682.5	642
drug_239	-389	-535	-471	-402	-818.5	642
drug_24	705	-739.5	655	-673.5	477.5	-793.5
drug_240	-389	-535	-471	-402	-347.5	642
drug_241	524.5	595.5	537.5	593	778	-509
drug_242	-389	-535	-471	-402	-682.5	707
drug_243	-389	-535	-471	-402	351	642
drug_244	524.5	595.5	537.5	593	-720	-509
drug_245	-389	-535	-471	-402	-505	-509
drug_246	524.5	595.5	537.5	593	-682.5	-509
drug_247	524.5	595.5	537.5	593	-389	-509
drug_248	-389	-535	-471	421	-623.5	670.5
drug_249	-629.5	486.5	-471	-637.5	-267.5	416
drug_25	671	761	729	682	871.5	757.5
drug_250	422.5	686.5	655	488.5	663.5	-509
drug_251	-389	-535	-471	-402	-317	-509
drug_252	524.5	595.5	537.5	593	492	-509
drug_253	422.5	686.5	655	488.5	-686.5	-509
drug_254	-389	-535	-471	421	-641	670.5
drug_255	524.5	595.5	537.5	593	465.5	-509
drug_256	-389	-535	-471	-402	-505	707
drug_257	-389	-535	-471	-402	-682.5	707
drug_258	-389	-535	-471	-402	-784.5	642
drug_259	-389	-535	-471	-402	590.5	642
drug_26	678	747	711	687.5	845.5	767.5
drug_260	-389	-535	474.5	-402	-641	659
drug_261	-629.5	316	-471	-637.5	-267.5	617
drug_262	-389	-535	611	-402	-623.5	551.5
drug_263	-629.5	316	-471	-637.5	-267.5	617
drug_264	-629.5	316	-471	-637.5	-340.5	617
drug_265	-700.5	351	-471	-702	439.5	691.5
drug_266	-629.5	316	-471	-637.5	429	617
drug_267	-629.5	432	586	-637.5	361	577.5
drug_268	-902	-569	-682.5	-916	-549	-561
drug_269	-389	-535	611	-402	439	551.5
drug_27	678	747	711	687.5	706.5	767.5
