ad	density	cc	spath	eigencentr	betwcentr
drug_1	426	427	-590.5	-482	-493.5	437.5
drug_10	-666	-592	437.5	-557	606.5	-692.5
drug_100	-471.5	-484.5	-657	427	-444.5	-554
drug_101	426	427	-495.5	427	-420	-542.5
drug_102	426	427	-590.5	-482	517.5	437.5
drug_103	-506.5	-568.5	-733.5	-668	-697	-617.5
drug_104	-558.5	-540.5	-652.5	427	606.5	437.5
drug_105	426	427	-590.5	-482	-507.5	437.5
drug_106	426	427	-590.5	-482	-493.5	437.5
drug_107	426	427	-461	-594.5	517.5	437.5
drug_108	426	427	-590.5	-482	517.5	437.5
drug_109	426	427	-461	-594.5	-410.5	437.5
drug_11	-633.5	-603.5	437.5	-441	606.5	-722
drug_110	-449	-498	-542.5	-723	-516	437.5
drug_111	-599.5	-651.5	437.5	427	-660	-654
drug_112	-599.5	-651.5	437.5	427	-660	-654
drug_113	-449	-498	-542.5	-723	-520	437.5
drug_114	-718	-724	437.5	427	-721	-598.5
drug_115	-686.5	-703.5	437.5	-707.5	-710.5	-514
drug_116	-686.5	-703.5	437.5	-707.5	-710.5	-514
drug_117	-686.5	-703.5	437.5	-707.5	-706	-514
drug_118	-671.5	-682.5	-720.5	-697	-555.5	437.5
drug_119	-686.5	-703.5	437.5	-707.5	-706	-514
drug_12	426	427	-556.5	-527	606.5	-584.5
drug_120	-599.5	-651.5	437.5	427	-687	-654
drug_121	-599.5	-651.5	437.5	427	-675.5	-654
drug_122	-686.5	-703.5	437.5	-707.5	-706	-514
drug_123	-449	-498	-542.5	-723	-511.5	437.5
drug_124	-599.5	-651.5	437.5	427	-647	-654
drug_125	-686.5	-703.5	437.5	-707.5	-706	-514
drug_126	-736	-739	437.5	-690	-728.5	-521.5
drug_127	-671.5	-682.5	-720.5	-697	-555.5	437.5
drug_128	-449	-498	-542.5	-723	-511.5	437.5
drug_129	-599.5	-651.5	437.5	427	-687	-654
drug_13	674.5	674.5	685	674.5	671	-692.5
drug_130	-599.5	-651.5	437.5	427	-660	-654
drug_131	-736	-739	437.5	-690	-728.5	-521.5
drug_132	-718	-724	437.5	427	-716.5	-598.5
drug_133	-449	-498	-542.5	-723	517.5	437.5
drug_134	-718	-724	437.5	427	-721	-598.5
drug_135	426	427	-590.5	-482	517.5	437.5
drug_136	-736	-739	437.5	-690	-728.5	-521.5
drug_137	-736	-739	437.5	-690	-728.5	-521.5
drug_138	-686.5	-703.5	437.5	-707.5	-706	-514
drug_139	-599.5	-651.5	437.5	427	-660	-654
drug_14	-680	674.5	685	-674.5	637.5	-732
drug_140	-736	-739	437.5	-690	-728.5	-521.5
drug_141	-599.5	-651.5	437.5	427	-675.5	-654
drug_142	426	427	437.5	-610.5	352	437.5
drug_143	-677	-679	-741	-534.5	-521.5	437.5
drug_144	426	427	-482	-629.5	-368	437.5
drug_145	426	427	-482	-629.5	606.5	437.5
drug_146	426	427	-447	-550	352	437.5
drug_147	426	427	437.5	-612	352	437.5
drug_148	-558.5	-540.5	-676	427	517.5	437.5
drug_149	426	427	-482	-629.5	-368	437.5
drug_15	674.5	674.5	685	674.5	716.5	-722
drug_150	-677	-679	-741	-534.5	-522.5	437.5
drug_151	426	427	-482	-629.5	517.5	437.5
drug_152	-428.5	427	437.5	-663	352	437.5
drug_153	426	427	-482	-629.5	517.5	437.5
drug_154	-570.5	-507.5	-639.5	-563	517.5	437.5
drug_155	-531.5	-517.5	-687	-654.5	-447.5	437.5
drug_156	-531.5	-517.5	-628	-702	-587.5	-628.5
drug_157	-531.5	-517.5	-687	-654.5	606.5	437.5
drug_158	-696	-690	-742.5	-434	-523.5	437.5
drug_159	-674	-588	-683.5	-615	606.5	-679.5
drug_16	-680	674.5	685	-674.5	637.5	-732
drug_160	-570.5	-507.5	-670	-677.5	352	437.5
drug_161	-464.5	-526.5	-642	-659.5	-637	-708
drug_162	-570.5	-507.5	-670	-677.5	517.5	437.5
drug_163	-479.5	-455.5	-635.5	427	517.5	437.5
drug_164	426	427	-517.5	-578	517.5	437.5
drug_165	-471.5	-484.5	-657	427	517.5	-554
drug_166	426	427	437.5	-610.5	517.5	437.5
drug_167	-479.5	-455.5	-624.5	-651.5	-577.5	-700.5
drug_168	-531.5	-517.5	-687	-654.5	-447.5	437.5
drug_169	-544	-473	-649	427	352	437.5
drug_17	-428.5	427	437.5	-644.5	352	-682
drug_170	426	427	-495.5	427	-420	-542.5
drug_171	-599.5	-651.5	437.5	427	-675.5	-654
drug_172	-657	-621	437.5	-542.5	-614	-569.5
drug_173	426	427	-517.5	-578	517.5	437.5
drug_174	-599.5	-651.5	437.5	427	-692.5	-654
drug_175	-731.5	-732.5	437.5	-743.5	-742	-743
drug_176	-708.5	-696.5	437.5	-735	-628.5	437.5
drug_177	426	427	-590.5	-482	-507.5	437.5
drug_178	-449	-498	-542.5	-723	-516	437.5
drug_179	-428.5	427	437.5	-622	517.5	437.5
drug_18	674.5	674.5	685	674.5	671	-692.5
drug_180	-449	-498	-542.5	-723	-520	437.5
drug_181	-686.5	-703.5	437.5	-707.5	-706	-514
drug_182	426	427	-590.5	-482	-493.5	437.5
drug_183	-599.5	-651.5	437.5	427	-660	-654
drug_184	-708.5	-696.5	437.5	-735	-629.5	437.5
drug_185	-599.5	-651.5	437.5	427	-660	-654
drug_186	-458	-462	437.5	-737.5	-392.5	437.5
drug_187	-599.5	-651.5	437.5	427	-647	-654
drug_188	-708.5	-696.5	437.5	-735	-630.5	437.5
drug_189	-449	-498	-542.5	-723	517.5	437.5
drug_19	674.5	674.5	685	674.5	671	685
drug_190	-731.5	-732.5	437.5	-743.5	-742	-743
drug_191	-657	-621	437.5	-542.5	-614	-569.5
drug_192	-686.5	-703.5	437.5	-707.5	-710.5	-514
drug_193	426	427	-517.5	-578	517.5	437.5
drug_194	-657	-621	437.5	-542.5	-619	-569.5
drug_195	-599.5	-651.5	437.5	427	-675.5	-654
drug_196	-449	-498	-542.5	-723	-511.5	437.5
drug_197	-657	-621	437.5	-542.5	-621.5	-569.5
drug_198	-599.5	-651.5	437.5	427	-660	-654
drug_199	-449	-498	-542.5	-723	517.5	437.5
drug_2	426	427	-482	-600.5	352	-468
drug_20	674	675	437.5	675	517.5	-527.5
drug_200	-703	-715	-644.5	-613	-735.5	-704.5
drug_201	-708.5	-696.5	437.5	675	-638.5	-606.5
drug_202	-599.5	-651.5	437.5	427	-647	-654
drug_203	674	675	437.5	675	-608.5	-627
drug_204	674	675	437.5	675	-573.5	-563
drug_205	674	675	-469.5	675	517.5	437.5
drug_206	-599.5	-651.5	437.5	427	-660	-654
drug_207	-703	-715	437.5	-649	-737.5	-740.5
drug_208	-599.5	-651.5	437.5	427	-687	-654
drug_209	-718	-724	437.5	427	-721	-598.5
drug_21	674.5	674.5	685	674.5	637.5	685
drug_210	426	427	-590.5	-482	606.5	437.5
drug_211	426	427	-590.5	-482	517.5	437.5
drug_212	-599.5	-651.5	437.5	427	-660	-654
drug_213	-558.5	-540.5	-676	427	-397	437.5
drug_214	426	427	-590.5	-482	-466	437.5
drug_215	-726.5	-710.5	437.5	-679	-736.5	-733.5
drug_216	426	427	-517.5	-578	-357.5	437.5
drug_217	-599.5	-651.5	437.5	427	-660	-654
drug_218	-599.5	-651.5	437.5	427	-687	-654
drug_219	426	427	-590.5	-482	517.5	437.5
drug_22	-818.5	-755.5	-254.5	-763	-558.5	-607.5
drug_220	674	675	-549.5	675	517.5	437.5
drug_221	674	675	437.5	675	-609.5	-627
drug_222	426	427	-517.5	-578	517.5	437.5
drug_223	-599.5	-651.5	437.5	427	-647	-654
drug_224	-599.5	-651.5	437.5	427	-687	-654
drug_225	-599.5	-651.5	437.5	427	-675.5	-654
drug_226	-666	-592	437.5	-449	-579.5	-577.5
drug_227	674	675	-469.5	675	517.5	437.5
drug_228	674	675	437.5	675	-574.5	-563
drug_229	426	427	-517.5	-578	606.5	437.5
drug_23	426	427	-482	-600.5	517.5	-468
drug_230	-599.5	-651.5	437.5	427	-687	-654
drug_231	-657	-621	437.5	-542.5	-614	-569.5
drug_232	-428.5	427	437.5	-622	606.5	437.5
drug_233	-657	-621	437.5	-542.5	-614	-569.5
drug_234	-657	-621	437.5	-542.5	-614	-569.5
drug_235	426	427	-517.5	-578	517.5	437.5
