ad	density	cc	spath	eigencentr	betwcentr
drug_1	-632	-621	-349.5	417	-668.5	-728.5
drug_10	-632	-652	-373.5	-526.5	-772	-697.5
drug_100	-331.5	-456.5	-577	-440.5	-463	406.5
drug_101	-331.5	-456.5	-577	-440.5	343	406.5
drug_102	-384	-596	-612	-553	-691	-386
drug_103	-592.5	-666.5	-749	-716	-652	516.5
drug_104	-592.5	-666.5	-749	-716	-513.5	516.5
drug_105	-616.5	-728.5	-755.5	-723.5	-511	466
drug_106	-592.5	-666.5	-749	-716	-513.5	516.5
drug_107	374	-401	-455.5	-501.5	-368	533
drug_108	-592.5	-666.5	-749	-716	-510	516.5
drug_109	-592.5	-666.5	-749	-716	-508.5	516.5
drug_11	-632	-703	-406.5	-533.5	-691.5	-669.5
drug_110	519	464	-705.5	685	-555	710
drug_111	528.5	-576.5	654	-570.5	634.5	595
drug_112	613	585	652	-631.5	775.5	698
drug_113	-632	-652	-737	-692	-803.5	704.5
drug_114	519	464	-705.5	685	549.5	710
drug_115	528.5	-576.5	654	-570.5	802	595
drug_116	509.5	-576.5	-719	675.5	779.5	690.5
drug_117	660.5	613.5	-673	738	-660.5	718
drug_118	528.5	-576.5	654	-570.5	-748	595
drug_119	537	479	605	487	-801	678
drug_12	-648	-745	-414	-644	-561.5	-685
drug_120	707.5	655.5	663	750	643.5	723
drug_121	660.5	613.5	-673	738	650.5	718
drug_122	519	464	-705.5	685	718.5	710
drug_123	654.5	659.5	699	732	843.5	716
drug_124	509.5	-576.5	-719	675.5	608.5	690.5
drug_125	615.5	527.5	603	544	698.5	714
drug_126	537	479	605	487	-735	678
drug_127	365	-456.5	-577	383.5	461.5	569.5
drug_128	519	464	-705.5	685	720.5	710
drug_129	-632	-652	-737	-692	-624	704.5
drug_13	-610.5	-639.5	-393	-400	-657	-659.5
drug_130	-384	-596	-612	-553	-639	503.5
drug_131	-659	-633	-758	726.5	-768	721.5
drug_132	519	464	-705.5	685	545.5	710
drug_133	-659	-633	-758	726.5	576.5	721.5
drug_134	365	-456.5	-577	383.5	-476	569.5
drug_135	509.5	-576.5	-719	675.5	610.5	690.5
drug_136	509.5	-576.5	-719	675.5	779.5	690.5
drug_137	660.5	613.5	-673	738	819.5	718
drug_138	519	464	-705.5	685	546.5	710
drug_139	537	479	605	487	-778.5	678
drug_14	-610.5	-639.5	-393	-400	-792	-659.5
drug_140	519	464	-705.5	685	716.5	710
drug_141	-384	-596	-612	-553	-757	503.5
drug_142	520	749	276	466	777	485
drug_143	540	777	-352	309	781	535
drug_144	461	620	-408	95.5	717	516.5
drug_145	541.5	842.5	384.5	312.5	834	772.5
drug_146	540	777	-352	309	782	535
drug_147	543	857	-364	545	840.5	546
drug_148	483.5	775.5	-403	-282.5	783	547.5
drug_149	447.5	670.5	-423.5	-224.5	775	482.5
drug_15	-632	-703	-406.5	-533.5	-895	-669.5
drug_150	533	747	-382.5	199.5	798	563.5
drug_151	406.5	526.5	-147.5	198.5	614	469.5
drug_152	296.5	483.5	-158.5	247.5	503.5	451.5
drug_153	520	749	276	466	778	485
