ad	density	cc	spath	eigencentr	betwcentr
drug_1	681	435	258	449	466.5	-674
drug_10	-568.5	626	661	613	476	616
drug_100	696	673	315.5	679.5	431	749.5
drug_101	561	403.5	408	416	451	533
drug_102	-401	457.5	554	426	320.5	435
drug_103	691	690	441	685	601	752
drug_104	687	583	318.5	659	408	711.5
drug_105	-401	-321	444.5	-355.5	386	757.5
drug_106	561	403.5	408	416	451	533
drug_107	561	403.5	408	416	451	533
drug_108	561	403.5	408	416	-378	533
drug_109	359	285	333.5	237.5	326	771.5
drug_11	625.5	440.5	398.5	460.5	-498.5	678.5
drug_110	733	867	902	859	898	375
drug_111	786.5	625.5	698	618.5	646	-117.5
drug_112	733	867	902	859	953	375
drug_113	733	867	902	859	935	375
drug_114	733	867	902	859	935	375
drug_115	733	867	902	859	855.5	375
drug_116	733	867	902	859	935	375
drug_117	733	867	902	859	892.5	375
drug_118	545	-726.5	801	-719.5	-807	-237.5
drug_119	733	867	902	859	935	375
drug_12	-568.5	-486.5	560	-479.5	490	-477.5
drug_120	733	867	902	859	957.5	375
drug_121	875	822	851	901	833	474
drug_122	733	867	902	859	935	375
drug_123	733	867	902	859	935	375
drug_124	733	867	902	859	898	375
drug_125	733	867	902	859	953	375
drug_126	733	867	902	859	898	375
drug_127	902.5	938.5	836.5	938.5	860	489.5
drug_128	733	867	902	859	838	375
drug_129	733	867	902	859	935	375
drug_13	-601	-610	228	-580	218	-828
drug_130	545	-726.5	801	-719.5	726	-237.5
drug_131	733	867	902	859	898	375
drug_132	733	867	902	859	892.5	375
drug_133	733	867	902	859	935	375
drug_134	733	867	902	859	838	375
drug_135	902.5	938.5	836.5	938.5	856.5	489.5
drug_136	733	867	902	859	935	375
drug_137	902.5	938.5	836.5	938.5	861.5	489.5
drug_138	733	867	902	859	892.5	375
drug_139	513	654	846.5	604.5	664	-388
drug_14	-520	-523	264	-525	212.5	978.5
drug_140	733	867	902	859	898	375
drug_141	902.5	938.5	836.5	938.5	853.5	489.5
drug_142	786.5	625.5	576	-823.5	657.5	287
drug_143	849	-848.5	-891	-904.5	-909	-528
drug_144	814	-848.5	-891	-904.5	-833	-528
drug_145	873.5	585.5	524.5	640.5	623.5	-342
drug_146	823.5	-848.5	-891	-904.5	-899.5	-528
drug_147	602	-907	-891	-904.5	-892.5	-480
drug_148	823.5	-848.5	-891	-904.5	-823.5	-528
drug_149	823.5	-848.5	-891	-904.5	-813	-528
drug_15	-601	-610	384	-580	415	891.5
drug_150	847	-848.5	-891	-904.5	-879	-528
drug_151	847	-848.5	-891	-904.5	-879	-528
drug_152	612	-907	-891	-904.5	-933	-480
drug_153	796	779	701	-823.5	779.5	418
drug_154	602	-907	-891	-904.5	-892.5	-480
drug_155	823.5	-848.5	-891	-904.5	-899.5	-528
drug_156	560	-926	-891	-842	-954.5	-499
drug_157	893	-848.5	-891	-904.5	-869.5	-528
drug_158	612	-907	-891	-904.5	-938.5	-480
drug_159	879	-832.5	-891	-930.5	-836.5	-513.5
drug_16	-601	-610	384	-580	406.5	891.5
drug_160	823.5	-848.5	-891	-904.5	-833	-528
drug_161	602	-907	-891	-904.5	-933	-480
drug_162	814	-848.5	-891	-904.5	-823.5	-528
drug_163	823.5	-848.5	-891	-904.5	-879	-528
drug_164	814	-848.5	-891	-904.5	-909	-528
drug_165	577.5	-926	-891	-842	-908.5	-499
drug_166	823.5	-848.5	-891	-904.5	-879	-528
drug_167	863	666	643	703	711	-388
drug_168	823.5	-848.5	-891	-904.5	-833	-528
drug_169	814	-848.5	-891	-904.5	-879	-528
drug_17	-568.5	626	661	613	665.5	616
drug_170	873.5	585.5	524.5	640.5	622.5	-342
drug_171	-568.5	-486.5	-493.5	-479.5	-431	-477.5
drug_172	-568.5	503	501	494	549	496
drug_173	-401	-321	448.5	-355.5	365	740.5
drug_174	-401	394.5	615.5	-355.5	284.5	763.5
drug_175	-568.5	503	501	494	-681	496
drug_176	671.5	680.5	420.5	672.5	-392	699.5
drug_177	-568.5	-486.5	-493.5	-479.5	-576.5	-477.5
drug_178	-568.5	503	501	494	-626	496
drug_179	-568.5	503	501	494	578	496
drug_18	-601	-610	384	-580	418.5	891.5
drug_180	-401	-321	-356	-291	-392	-628
drug_181	-401	-321	328	-355.5	-321.5	555
drug_182	-568.5	503	501	494	549	496
drug_183	-401	-321	448.5	-355.5	366	740.5
drug_184	671.5	680.5	420.5	672.5	-496.5	699.5
drug_185	-568.5	626	661	613	497.5	616
drug_186	-568.5	503	501	494	-576.5	496
drug_187	-401	-321	448.5	-355.5	364	740.5
drug_188	-568.5	503	501	494	-718	496
drug_189	671.5	680.5	420.5	672.5	468	699.5
drug_19	-520	-523	134	-525	105	975.5
drug_190	671.5	680.5	420.5	672.5	465	699.5
drug_191	849.5	364.5	-151.5	751	-187.5	-823.5
drug_192	-568.5	-486.5	-493.5	-479.5	-576.5	-477.5
drug_193	-568.5	503	501	494	588	496
