ad	density	cc	spath	eigencentr	betwcentr
drug_1	943.5	745.5	486.5	883.5	770	617.5
drug_10	831.5	723.5	578.5	712.5	630	536.5
drug_100	739	719	-480	774.5	636	329
drug_101	739	719	-480	774.5	631	329
drug_102	739	719	-480	774.5	496.5	329
drug_103	-747	485	-586.5	552	444	469.5
drug_104	-747	485	-586.5	552	-323.5	469.5
drug_105	-747	485	-586.5	552	-424.5	469.5
drug_106	739	719	-480	774.5	636	329
drug_107	739	719	-480	774.5	491.5	329
drug_108	-747	485	-586.5	552	-418.5	469.5
drug_109	739	719	-480	774.5	568.5	329
drug_11	952	951	598	936	945	898
drug_110	-624.5	-499.5	-573	-229	-350.5	-724
drug_111	-433.5	-583.5	516.5	-541.5	-643	587.5
drug_112	-433.5	-583.5	516.5	-541.5	-554.5	587.5
drug_113	-433.5	-583.5	516.5	-541.5	-511.5	587.5
drug_114	-433.5	-583.5	516.5	-541.5	-502	587.5
drug_115	-433.5	-583.5	516.5	-541.5	-566	587.5
drug_116	-624.5	-499.5	-573	-229	-317.5	-724
drug_117	-433.5	-583.5	516.5	-541.5	-566	587.5
drug_118	-433.5	-583.5	516.5	-541.5	-609	587.5
drug_119	-433.5	-583.5	516.5	-541.5	-523.5	587.5
drug_12	952	951	598	936	942	898
drug_120	-433.5	-583.5	516.5	-541.5	-643	587.5
drug_121	-624.5	-499.5	-573	-229	-495	-724
drug_122	-433.5	-583.5	516.5	-541.5	-538	587.5
drug_123	-433.5	-583.5	516.5	-541.5	480.5	587.5
drug_124	-433.5	-583.5	516.5	-541.5	-638.5	587.5
drug_125	-433.5	-583.5	516.5	-541.5	-523.5	587.5
drug_126	-433.5	-583.5	516.5	-541.5	-525	587.5
drug_127	-624.5	-499.5	-573	-229	-458.5	-724
drug_128	-624.5	-499.5	-573	-229	-381.5	-724
drug_129	-624.5	-499.5	-573	-229	-495	-724
drug_13	943.5	745.5	486.5	883.5	763	617.5
drug_130	-433.5	-583.5	516.5	-541.5	-523.5	587.5
drug_131	-433.5	-583.5	516.5	-541.5	-502	587.5
