V1	V2
Spp1	Ccl9
Spp1	Arg1
Ccl9	Arg1
Spp1	Ccl2
Ccl9	Ccl2
Arg1	Ccl2
Spp1	Hmox1
Arg1	Hmox1
Spp1	Pf4
Ccl9	Pf4
Arg1	Pf4
Ccl2	Pf4
Hmox1	Pf4
Ccl9	Mt1
Arg1	Mt1
Ccl2	Mt1
Hmox1	Mt1
Pf4	Mt1
Spp1	Fn1
Ccl9	Fn1
Arg1	Fn1
Ccl2	Fn1
Pf4	Fn1
Mt1	Fn1
Spp1	Ccl7
Ccl9	Ccl7
Arg1	Ccl7
Ccl2	Ccl7
Hmox1	Ccl7
Pf4	Ccl7
Mt1	Ccl7
Fn1	Ccl7
Spp1	Plcb1
Ccl9	F13a1
Arg1	F13a1
Ccl2	F13a1
Hmox1	F13a1
Pf4	F13a1
Mt1	F13a1
Fn1	F13a1
Plcb1	F13a1
Ccl9	Mafb
Arg1	Mafb
Ccl2	Mafb
Mt1	Mafb
Fn1	Mafb
Ccl7	Mafb
F13a1	Mafb
Ccl9	Ear2
Arg1	Ear2
Ccl2	Ear2
Pf4	Ear2
Mt1	Ear2
Fn1	Ear2
Ccl7	Ear2
Plcb1	Ear2
F13a1	Ear2
Mafb	Ear2
Arg1	Mt2
Ccl2	Mt2
Pf4	Mt2
Mt1	Mt2
Plcb1	Mt2
Spp1	F10
Ccl7	F10
Plcb1	F10
Ccl9	Fcgr2b
Arg1	Fcgr2b
Ccl2	Fcgr2b
Mt1	Fcgr2b
F13a1	Fcgr2b
Mafb	Fcgr2b
Ear2	Fcgr2b
Ccl2	Ms4a4c
Ccl9	Ms4a6d
Arg1	Ms4a6d
Ccl2	Ms4a6d
Pf4	Ms4a6d
Mt1	Ms4a6d
Fn1	Ms4a6d
Ccl7	Ms4a6d
F13a1	Ms4a6d
Mafb	Ms4a6d
Ear2	Ms4a6d
Ms4a4c	Ms4a6d
Spp1	Ccl12
Arg1	Ccl12
Ccl2	Ccl12
Hmox1	Ccl12
Pf4	Ccl12
Fn1	Ccl12
Ccl7	Ccl12
Ms4a4c	Ccl12
Ms4a6d	Ccl12
Spp1	Lmna
Ccl9	Lmna
Ccl2	Lmna
Pf4	Lmna
Mt1	Lmna
Fn1	Lmna
Ccl7	Lmna
Spp1	Mmp19
Ccl9	Mmp19
Arg1	Mmp19
Ccl2	Mmp19
Fn1	Mmp19
Mafb	Mmp19
Ear2	Mmp19
Ms4a4c	Mmp19
Ms4a6d	Mmp19
Ccl12	Mmp19
Lmna	Mmp19
Ccl9	Slc16a10
Ms4a6d	Slc16a10
Lmna	Slc16a10
Ccl2	Pdia6
F13a1	Pdia6
Mafb	Pdia6
Ms4a6d	Pdia6
Ccl12	Pdia6
Mmp19	Pdia6
Ccl2	Hes1
Mt1	Hes1
Ear2	Hes1
Spp1	Lpl
Arg1	Lpl
Ccl2	Lpl
Hmox1	Lpl
Pf4	Lpl
Mt1	Lpl
Fn1	Lpl
Ccl7	Lpl
Mafb	Lpl
Lmna	Lpl
Spp1	Ppbp
Arg1	Ppbp
Ccl2	Ppbp
Pf4	Ppbp
Mt1	Ppbp
Fn1	Ppbp
Ccl7	Ppbp
F13a1	Ppbp
Mt2	Ppbp
F10	Ppbp
Ms4a6d	Ppbp
Ccl12	Ppbp
Mmp19	Ppbp
Ccl9	Ormdl2
Ccl2	Ormdl2
Fn1	Ormdl2
Lmna	Ormdl2
Mmp19	Ormdl2
Ccl9	Cd86
Fn1	Cd86
F13a1	Cd86
Mafb	Cd86
Ear2	Cd86
Ms4a6d	Cd86
Slc16a10	Cd86
Ccl2	Crem
Mafb	Crem
Mmp19	Crem
Pdia6	Crem
Cd86	Crem
Spp1	Ccl24
Ccl9	Ccl24
Arg1	Ccl24
Pf4	Ccl24
Mt1	Ccl24
Fn1	Ccl24
Ccl7	Ccl24
Mt2	Ccl24
Ppbp	Ccl24
Spp1	Pdpn
Ccl2	Pdpn
Ccl7	Pdpn
Plcb1	Pdpn
Lmna	Pdpn
Lpl	Pdpn
Spp1	3-Mar
Pf4	3-Mar
Ppbp	3-Mar
Ccl9	Rap1gap2
Arg1	Rap1gap2
Mt1	Rap1gap2
Fn1	Rap1gap2
Mafb	Rap1gap2
Ear2	Rap1gap2
Fcgr2b	Rap1gap2
Mmp19	Rap1gap2
Spp1	Ecm1
Ccl9	Ecm1
Arg1	Ecm1
Ccl2	Ecm1
Pf4	Ecm1
Mt1	Ecm1
Fn1	Ecm1
Ccl7	Ecm1
Mafb	Ecm1
Ear2	Ecm1
Fcgr2b	Ecm1
Ms4a6d	Ecm1
Ccl12	Ecm1
Lmna	Ecm1
Mmp19	Ecm1
Ppbp	Ecm1
Ccl24	Ecm1
Fn1	Pde4d
Ccl12	Pde4d
Lmna	Pde4d
Slc16a10	Pde4d
Pdia6	Pde4d
Ormdl2	Pde4d
Ecm1	Pde4d
Ccl9	Vcan
Arg1	Vcan
Ccl2	Vcan
Mt1	Vcan
Fn1	Vcan
F13a1	Vcan
Mafb	Vcan
Ear2	Vcan
Ms4a6d	Vcan
Rap1gap2	Vcan
Ecm1	Vcan
Pf4	Klf4
Lmna	Klf4
Pdpn	Klf4
3-Mar	Klf4
Rap1gap2	Klf4
Ecm1	Klf4
Spp1	Emp1
Arg1	Emp1
Ccl2	Emp1
Hmox1	Emp1
Pf4	Emp1
Mt1	Emp1
Fn1	Emp1
Ccl7	Emp1
F13a1	Emp1
Mafb	Emp1
Ear2	Emp1
Fcgr2b	Emp1
Ms4a4c	Emp1
Ms4a6d	Emp1
Ccl12	Emp1
Lmna	Emp1
Mmp19	Emp1
Lpl	Emp1
Ppbp	Emp1
Pdpn	Emp1
3-Mar	Emp1
Ecm1	Emp1
Klf4	Emp1
Spp1	Dab2
Ccl9	Dab2
Arg1	Dab2
Ccl2	Dab2
Hmox1	Dab2
Pf4	Dab2
Mt1	Dab2
Fn1	Dab2
Ccl7	Dab2
F13a1	Dab2
Mafb	Dab2
Ear2	Dab2
Ms4a4c	Dab2
Ms4a6d	Dab2
Ccl12	Dab2
Lmna	Dab2
Mmp19	Dab2
Pdia6	Dab2
Ppbp	Dab2
Ccl24	Dab2
Rap1gap2	Dab2
Ecm1	Dab2
Pde4d	Dab2
Emp1	Dab2
Ccl9	Tubb6
Arg1	Tubb6
Ccl2	Tubb6
Pf4	Tubb6
Fn1	Tubb6
Ms4a4c	Tubb6
Ms4a6d	Tubb6
Lmna	Tubb6
Mmp19	Tubb6
Ormdl2	Tubb6
Cd86	Tubb6
Ecm1	Tubb6
Pde4d	Tubb6
Emp1	Tubb6
Dab2	Tubb6
Pde4d	B4galt1
Ccl2	Ms4a6b
F13a1	Ms4a6b
Ms4a4c	Ms4a6b
Ms4a6d	Ms4a6b
Ccl12	Ms4a6b
Mt1	Uck2
Fn1	Uck2
Plcb1	Uck2
F13a1	Uck2
Mafb	Uck2
Ms4a6d	Uck2
Mmp19	Uck2
Cd86	Uck2
B4galt1	Uck2
Ccl7	Inhba
Mmp19	Inhba
Tubb6	Inhba
Spp1	Mrc1
Arg1	Mrc1
Ccl2	Mrc1
Pf4	Mrc1
Mt1	Mrc1
Fn1	Mrc1
Ccl7	Mrc1
Ms4a6d	Mrc1
Ccl12	Mrc1
Ppbp	Mrc1
Ccl24	Mrc1
Pdpn	Mrc1
3-Mar	Mrc1
Ecm1	Mrc1
Emp1	Mrc1
Dab2	Mrc1
Tubb6	Mrc1
Ccl9	Prdx2
Ccl2	Prdx2
Fn1	Prdx2
Ms4a6d	Prdx2
Ccl24	Prdx2
Ecm1	Prdx2
Mrc1	Prdx2
Ccl9	Errfi1
Arg1	Errfi1
Ccl2	Errfi1
Ear2	Errfi1
Fcgr2b	Errfi1
Lmna	Errfi1
Pdpn	Errfi1
Inhba	Errfi1
Ccl9	Nr4a2
Arg1	Nr4a2
Fn1	Nr4a2
F13a1	Nr4a2
Mafb	Nr4a2
Mmp19	Nr4a2
Slc16a10	Nr4a2
Ppbp	Nr4a2
Crem	Nr4a2
3-Mar	Nr4a2
Ecm1	Nr4a2
Emp1	Nr4a2
Hmox1	Exosc3
Fn1	Exosc3
Spp1	Fcgr1
Ccl9	Fcgr1
Arg1	Fcgr1
Ccl2	Fcgr1
Hmox1	Fcgr1
Pf4	Fcgr1
Fn1	Fcgr1
Ccl7	Fcgr1
Fcgr2b	Fcgr1
Ms4a4c	Fcgr1
Ms4a6d	Fcgr1
Ccl12	Fcgr1
Mmp19	Fcgr1
Ccl24	Fcgr1
Ecm1	Fcgr1
Pde4d	Fcgr1
Emp1	Fcgr1
Dab2	Fcgr1
Ms4a6b	Fcgr1
Mrc1	Fcgr1
Prdx2	Fcgr1
Arg1	Glul
Fn1	Glul
Ormdl2	Glul
Tubb6	Glul
Inhba	Glul
Fcgr1	Glul
Mmp19	Cyfip1
Pde4d	Cyfip1
Dab2	Cyfip1
Errfi1	Cyfip1
Ear2	Smpdl3b
Hes1	Smpdl3b
Spp1	Myo1e
Ccl9	Myo1e
Arg1	Myo1e
Pf4	Myo1e
Fn1	Myo1e
Fcgr2b	Myo1e
Ms4a4c	Myo1e
3-Mar	Myo1e
Ecm1	Myo1e
Klf4	Myo1e
Emp1	Myo1e
Dab2	Myo1e
Tubb6	Myo1e
Errfi1	Myo1e
Ccl9	Clec4a3
Arg1	Clec4a3
Ccl2	Clec4a3
Mt1	Clec4a3
Ccl7	Clec4a3
F13a1	Clec4a3
Ear2	Clec4a3
Mt2	Clec4a3
Dab2	Clec4a3
Errfi1	Clec4a3
Fcgr1	Clec4a3
Smpdl3b	Clec4a3
Myo1e	Clec4a3
Arg1	Nrg1
Ccl2	Nrg1
Fn1	Nrg1
Mafb	Nrg1
Pdia6	Nrg1
Vcan	Nrg1
Uck2	Nrg1
Errfi1	Nrg1
Exosc3	Nrg1
Cyfip1	Nrg1
Myo1e	Nrg1
Spp1	Chd9
Arg1	Chd9
Fn1	Chd9
Dab2	Chd9
Fcgr1	Chd9
Ccl9	Gpr171
Arg1	Gpr171
Pf4	Gpr171
F10	Gpr171
Ccl24	Gpr171
Ecm1	Gpr171
Emp1	Gpr171
Dab2	Gpr171
Tubb6	Gpr171
Mrc1	Gpr171
Fcgr1	Gpr171
Spp1	Snx5
Ccl9	Snx5
Ccl2	Snx5
Fn1	Snx5
Ccl7	Snx5
Mafb	Snx5
Ms4a6d	Snx5
Ccl12	Snx5
Ecm1	Snx5
Vcan	Snx5
Mrc1	Snx5
Fcgr1	Snx5
Plcb1	Gm47283
Lmna	Gm47283
Slc16a10	Gm47283
Pdpn	Gm47283
Pde4d	Gm47283
B4galt1	Gm47283
Cyfip1	Gm47283
Arg1	Pgm1
Uck2	Pgm1
Inhba	Pgm1
Errfi1	Pgm1
Arg1	Man1a
Mt1	Man1a
Lmna	Man1a
Vcan	Man1a
Uck2	Man1a
Inhba	Man1a
Mrc1	Man1a
Errfi1	Man1a
Nr4a2	Man1a
Nrg1	Man1a
Lmna	Dapk1
3-Mar	Dapk1
Uck2	Dapk1
Mrc1	Dapk1
Nrg1	Dapk1
Gm47283	Dapk1
Man1a	Dapk1
Ccl9	Tbxas1
Arg1	Tbxas1
Pf4	Tbxas1
Fn1	Tbxas1
Ear2	Tbxas1
Ms4a6d	Tbxas1
Lmna	Tbxas1
Slc16a10	Tbxas1
Pdia6	Tbxas1
Lpl	Tbxas1
Ecm1	Tbxas1
Pde4d	Tbxas1
Emp1	Tbxas1
Dab2	Tbxas1
Prdx2	Tbxas1
Gpr171	Tbxas1
Spp1	Cd38
Arg1	Cd38
Pf4	Cd38
Fn1	Cd38
Mt2	Cd38
Ppbp	Cd38
Ccl24	Cd38
Ecm1	Cd38
Emp1	Cd38
B4galt1	Cd38
Nr4a2	Cd38
Exosc3	Cd38
Arg1	Fam172a
Ccl2	Fam172a
Fn1	Fam172a
Lmna	Fam172a
Ecm1	Fam172a
Pde4d	Fam172a
Vcan	Fam172a
Nrg1	Fam172a
Gm47283	Fam172a
Man1a	Fam172a
