V1	V2
Lyz2	Ctss
Lyz2	Cst3
Ctss	Cst3
Lyz2	Tmsb4x
Ctss	Tmsb4x
Cst3	Tmsb4x
Lyz2	Cxcl3
Ctss	Cxcl3
Cst3	Cxcl3
Tmsb4x	Cxcl3
Lyz2	Rpl37a
Ctss	Rpl37a
Cst3	Rpl37a
Tmsb4x	Rpl37a
Cxcl3	Rpl37a
Lyz2	Rps27a
Ctss	Rps27a
Cst3	Rps27a
Tmsb4x	Rps27a
Cxcl3	Rps27a
Rpl37a	Rps27a
Lyz2	Tyrobp
Ctss	Tyrobp
Cst3	Tyrobp
Tmsb4x	Tyrobp
Cxcl3	Tyrobp
Rpl37a	Tyrobp
Rps27a	Tyrobp
Lyz2	Rps29
Ctss	Rps29
Tmsb4x	Rps29
Cxcl3	Rps29
Rpl37a	Rps29
Rps27a	Rps29
Tyrobp	Rps29
Lyz2	Rpl32
Ctss	Rpl32
Cst3	Rpl32
Tmsb4x	Rpl32
Cxcl3	Rpl32
Rpl37a	Rpl32
Rps27a	Rpl32
Tyrobp	Rpl32
Rps29	Rpl32
Ctss	Slpi
Tmsb4x	Slpi
Cxcl3	Slpi
Rpl37a	Slpi
Rps27a	Slpi
Rpl32	Slpi
Lyz2	Rps18
Ctss	Rps18
Cst3	Rps18
Tmsb4x	Rps18
Cxcl3	Rps18
Rpl37a	Rps18
Rps27a	Rps18
Tyrobp	Rps18
Rps29	Rps18
Rpl32	Rps18
Slpi	Rps18
Lyz2	Rps4x
Ctss	Rps4x
Tmsb4x	Rps4x
Cxcl3	Rps4x
Rpl37a	Rps4x
Rps27a	Rps4x
Tyrobp	Rps4x
Rps29	Rps4x
Rpl32	Rps4x
Slpi	Rps4x
Rps18	Rps4x
Lyz2	Rpl41
Ctss	Rpl41
Cst3	Rpl41
Tmsb4x	Rpl41
Cxcl3	Rpl41
Rpl37a	Rpl41
Rps27a	Rpl41
Tyrobp	Rpl41
Rps29	Rpl41
Rpl32	Rpl41
Slpi	Rpl41
Rps18	Rpl41
Rps4x	Rpl41
Lyz2	Rps19
Ctss	Rps19
Cst3	Rps19
Tmsb4x	Rps19
Cxcl3	Rps19
Rpl37a	Rps19
Rps27a	Rps19
Tyrobp	Rps19
Rps29	Rps19
Rpl32	Rps19
Slpi	Rps19
Rps18	Rps19
Rps4x	Rps19
Rpl41	Rps19
Lyz2	Rpl13
Ctss	Rpl13
Cst3	Rpl13
Tmsb4x	Rpl13
Cxcl3	Rpl13
Rpl37a	Rpl13
Rps27a	Rpl13
Tyrobp	Rpl13
Rps29	Rpl13
Rpl32	Rpl13
Slpi	Rpl13
Rps18	Rpl13
Rps4x	Rpl13
Rpl41	Rpl13
Rps19	Rpl13
Lyz2	Rps8
Ctss	Rps8
Cst3	Rps8
Tmsb4x	Rps8
Cxcl3	Rps8
Rpl37a	Rps8
Rps27a	Rps8
Tyrobp	Rps8
Rps29	Rps8
Rpl32	Rps8
Slpi	Rps8
Rps18	Rps8
Rps4x	Rps8
Rpl41	Rps8
Rps19	Rps8
Rpl13	Rps8
Lyz2	Rplp1
Ctss	Rplp1
Cst3	Rplp1
Tmsb4x	Rplp1
Cxcl3	Rplp1
